2022-12-30	-0.016534	-0.004344	0.000808	-0.023084	-3.979172	877700.000000
2022-12-29	0.016170	0.010447	0.022227	0.009138	3.829590	605200.000000
2022-12-28	-0.008103	0.005149	0.014656	-0.006620	-1.934738	861100.000000
2022-12-27	-0.013393	-0.000751	0.002802	-0.012114	-3.241196	653300.000000
2022-12-23	0.005678	0.000185	0.014895	-0.007503	1.366287	605000.000000
2022-12-22	-0.003757	-0.009824	-0.000095	-0.015868	-0.907532	934200.000000
2022-12-21	0.015215	0.006502	0.018396	0.002468	3.620148	1046500.000000
2022-12-20	0.001974	-0.001576	0.012742	-0.004397	0.468735	952800.000000
2022-12-19	-0.009814	-0.000616	0.007473	-0.011124	-2.353607	1026100.000000
2022-12-16	-0.015234	-0.006232	0.000051	-0.020604	-3.709900	2295300.000000
2022-12-15	-0.018055	-0.008046	-0.008046	-0.027320	-4.477814	1324600.000000
2022-12-14	-0.039326	-0.016106	0.002991	-0.036868	-10.152390	1742900.000000
2022-12-13	0.019616	0.034316	0.049167	0.007262	4.966476	1312700.000000
2022-12-12	0.003954	0.009857	0.009857	-0.012546	0.997284	1402700.000000
2022-12-09	-0.006170	0.001695	0.005754	-0.007132	-1.565735	972700.000000
2022-12-08	0.013261	0.004317	0.016536	-0.002231	3.320984	1153900.000000
2022-12-07	-0.009232	0.002324	0.010632	-0.011008	-2.333679	1285700.000000
2022-12-06	-0.000513	0.005962	0.010470	-0.013927	-0.129623	1150600.000000
2022-12-05	-0.016140	-0.012841	-0.002143	-0.016070	-4.148712	1431600.000000
2022-12-02	0.024403	-0.010152	0.034920	-0.016927	6.123337	1769300.000000
2022-12-01	0.009752	0.019339	0.019339	0.001553	2.423416	1061000.000000
2022-11-30	0.031502	-0.014133	0.036009	-0.017785	7.589340	2873600.000000
2022-11-29	-0.016249	0.000433	0.008396	-0.021576	-3.979172	1239100.000000
2022-11-28	-0.015870	-0.005920	0.003845	-0.015002	-3.949265	817000.000000
2022-11-25	-0.001920	-0.005302	0.002198	-0.009554	-0.478699	403900.000000
