Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,145.10000610351562,146.00999450683594,144.77999877929688,145.8699951171875,137.6349334716797,4435000
2020-01-02,145.8699951171875,146.02000427246094,145.0800018310547,145.97000122070312,137.72927856445312,5777000
2020-01-03,143.5,145.3699951171875,143.0,144.27999877929688,136.13470458984375,5752400
2020-01-06,144.0,144.1999969482422,142.85000610351562,144.10000610351562,135.96485900878906,7731300
2020-01-07,144.00999450683594,145.4499969482422,141.3800048828125,144.97999572753906,136.79518127441406,7382900
2020-01-08,144.8699951171875,145.97999572753906,143.6999969482422,144.9600067138672,136.7763214111328,6605800
2020-01-09,145.75999450683594,146.02999877929688,144.99000549316406,145.38999938964844,137.18202209472656,6112700
2020-01-10,145.75,146.17999267578125,144.89999389648438,145.05999755859375,136.8706512451172,5042600
2020-01-13,145.47999572753906,145.7899932861328,144.72000122070312,145.6999969482422,137.4745330810547,4593200
2020-01-14,145.0500030517578,146.61000061035156,144.72999572753906,146.52000427246094,138.2482452392578,7037500
2020-01-15,146.39999389648438,147.39999389648438,146.24000549316406,147.00999450683594,138.7105712890625,4960300
2020-01-16,147.4199981689453,148.83999633789062,146.1999969482422,148.1999969482422,139.83338928222656,6476000
2020-01-17,148.41000366210938,149.41000366210938,147.92999267578125,149.1699981689453,140.74864196777344,9083600
2020-01-21,148.5800018310547,150.1699981689453,148.5,149.27000427246094,140.84298706054688,9543900
2020-01-22,146.6999969482422,149.17999267578125,146.0,148.25,139.8805694580078,10305300
2020-01-23,148.0399932861328,148.77000427246094,146.75999450683594,148.52999877929688,140.14476013183594,8671900
2020-01-24,148.5800018310547,148.9499969482422,147.92999267578125,148.32000732421875,139.9466552734375,9051900
2020-01-27,147.52000427246094,149.4600067138672,147.0,148.75,140.3523406982422,7587100
2020-01-28,148.4600067138672,150.57000732421875,148.14999389648438,149.5,141.0600128173828,7336600
2020-01-29,149.4499969482422,151.19000244140625,149.1300048828125,150.5399932861328,142.0413055419922,6288600
2020-01-30,150.02999877929688,150.50999450683594,149.0500030517578,150.36000061035156,141.8714599609375,6470600
2020-01-31,149.75,150.0,148.63999938964844,148.8699951171875,140.46556091308594,8651700
2020-02-03,149.4199981689453,150.49000549316406,149.24000549316406,150.1699981689453,141.69216918945312,5765200
2020-02-04,151.49000549316406,152.75,151.1999969482422,151.60000610351562,143.04147338867188,6541400
2020-02-05,151.72000122070312,154.02000427246094,151.30999755859375,153.99000549316406,145.29652404785156,5979900
2020-02-06,154.25,154.5,152.74000549316406,153.52999877929688,144.86248779296875,6201200
2020-02-07,153.33999633789062,153.4600067138672,151.5500030517578,151.88999938964844,143.31507873535156,5700300
2020-02-10,151.67999267578125,151.91000366210938,150.88999938964844,151.86000061035156,143.2867889404297,4835600
2020-02-11,152.2899932861328,152.3800048828125,151.5399932861328,151.99000549316406,143.40945434570312,3715300
2020-02-12,151.8699951171875,152.14999389648438,150.9199981689453,151.08999633789062,142.56024169921875,5166800
2020-02-13,150.16000366210938,151.0399932861328,149.8800048828125,150.08999633789062,141.61668395996094,5480200
2020-02-14,150.55999755859375,150.63999938964844,149.14999389648438,150.1300048828125,141.6544647216797,5716300
2020-02-18,150.47000122070312,150.74000549316406,149.05999755859375,149.13999938964844,140.72032165527344,7230700
2020-02-19,149.2100067138672,149.75999450683594,148.5800018310547,148.94000244140625,140.5316162109375,6115200
2020-02-20,148.61000061035156,149.3800048828125,147.39999389648438,148.3699951171875,139.99378967285156,7464700
2020-02-21,148.08999633789062,150.24000549316406,147.5399932861328,149.92999267578125,141.46572875976562,7776800
2020-02-24,146.5,149.0,145.25,145.91000366210938,138.55059814453125,10588900
2020-02-25,145.99000549316406,146.75,143.8300018310547,144.64999389648438,137.3541259765625,10529000
2020-02-26,145.35000610351562,146.22000122070312,143.58999633789062,143.67999267578125,136.43304443359375,10093800
2020-02-27,142.55999755859375,144.77000427246094,138.9499969482422,139.1199951171875,132.10302734375,12566700
2020-02-28,135.36000061035156,137.2899932861328,130.82000732421875,134.47999572753906,127.69708251953124,19820300
2020-03-02,134.77999877929688,140.1300048828125,134.00999450683594,140.02000427246094,132.9576416015625,11508200
2020-03-03,140.0,140.99000549316406,133.10000610351562,135.58999633789062,128.75111389160156,13662500
2020-03-04,137.67999267578125,143.63999938964844,137.13999938964844,143.47999572753906,136.24313354492188,10560500
2020-03-05,140.8000030517578,142.67999267578125,139.83999633789062,142.00999450683594,134.84725952148438,11339200
2020-03-06,138.47999572753906,143.00999450683594,137.41000366210938,142.02999877929688,134.86627197265625,12239100
